,datetime,tickersymbol,price
1970-01-01 00:00:00.000000000,2021-06-01,VN30,1482.92
1970-01-01 00:00:00.000000001,2021-06-02,VN30,1478.85
1970-01-01 00:00:00.000000002,2021-06-03,VN30,1504.37
1970-01-01 00:00:00.000000003,2021-06-04,VN30,1508.35
1970-01-01 00:00:00.000000004,2021-06-07,VN30,1484.1
1970-01-01 00:00:00.000000005,2021-06-08,VN30,1438.97
1970-01-01 00:00:00.000000006,2021-06-09,VN30,1457.76
1970-01-01 00:00:00.000000007,2021-06-10,VN30,1451.18
1970-01-01 00:00:00.000000008,2021-06-11,VN30,1487.61
1970-01-01 00:00:00.000000009,2021-06-14,VN30,1495.51
1970-01-01 00:00:00.000000010,2021-06-15,VN30,1487.04
1970-01-01 00:00:00.000000011,2021-06-16,VN30,1465.58
1970-01-01 00:00:00.000000012,2021-06-17,VN30,1461.91
1970-01-01 00:00:00.000000013,2021-06-18,VN30,1481.3
1970-01-01 00:00:00.000000014,2021-06-21,VN30,1478.29
1970-01-01 00:00:00.000000015,2021-06-22,VN30,1489.24
1970-01-01 00:00:00.000000016,2021-06-23,VN30,1489.53
1970-01-01 00:00:00.000000017,2021-06-24,VN30,1486.96
1970-01-01 00:00:00.000000018,2021-06-25,VN30,1500.3
1970-01-01 00:00:00.000000019,2021-06-28,VN30,1521.41
1970-01-01 00:00:00.000000020,2021-06-29,VN30,1529.97
1970-01-01 00:00:00.000000021,2021-06-30,VN30,1529.0
1970-01-01 00:00:00.000000022,2021-07-01,VN30,1545.14
1970-01-01 00:00:00.000000023,2021-07-02,VN30,1554.59
1970-01-01 00:00:00.000000024,2021-07-05,VN30,1557.41
1970-01-01 00:00:00.000000025,2021-07-06,VN30,1488.42
1970-01-01 00:00:00.000000026,2021-07-07,VN30,1538.77
1970-01-01 00:00:00.000000027,2021-07-08,VN30,1521.21
1970-01-01 00:00:00.000000028,2021-07-09,VN30,1494.43
1970-01-01 00:00:00.000000029,2021-07-12,VN30,1443.1
1970-01-01 00:00:00.000000030,2021-07-13,VN30,1440.87
1970-01-01 00:00:00.000000031,2021-07-14,VN30,1410.3
1970-01-01 00:00:00.000000032,2021-07-15,VN30,1430.29
1970-01-01 00:00:00.000000033,2021-07-16,VN30,1438.05
1970-01-01 00:00:00.000000034,2021-07-19,VN30,1374.15
1970-01-01 00:00:00.000000035,2021-07-20,VN30,1411.02
1970-01-01 00:00:00.000000036,2021-07-21,VN30,1406.54
1970-01-01 00:00:00.000000037,2021-07-22,VN30,1428.48
1970-01-01 00:00:00.000000038,2021-07-23,VN30,1401.53
1970-01-01 00:00:00.000000039,2021-07-26,VN30,1403.96
1970-01-01 00:00:00.000000040,2021-07-27,VN30,1409.85
1970-01-01 00:00:00.000000041,2021-07-28,VN30,1407.5
1970-01-01 00:00:00.000000042,2021-07-29,VN30,1427.55
1970-01-01 00:00:00.000000043,2021-07-30,VN30,1447.23
1970-01-01 00:00:00.000000044,2021-08-02,VN30,1448.21
1970-01-01 00:00:00.000000045,2021-08-03,VN30,1469.87
1970-01-01 00:00:00.000000046,2021-08-04,VN30,1472.2
1970-01-01 00:00:00.000000047,2021-08-05,VN30,1486.46
1970-01-01 00:00:00.000000048,2021-08-06,VN30,1476.79
1970-01-01 00:00:00.000000049,2021-08-09,VN30,1497.83
1970-01-01 00:00:00.000000050,2021-08-10,VN30,1494.41
1970-01-01 00:00:00.000000051,2021-08-11,VN30,1487.91
1970-01-01 00:00:00.000000052,2021-08-12,VN30,1477.06
1970-01-01 00:00:00.000000053,2021-08-13,VN30,1484.25
1970-01-01 00:00:00.000000054,2021-08-16,VN30,1500.77
1970-01-01 00:00:00.000000055,2021-08-17,VN30,1494.12
1970-01-01 00:00:00.000000056,2021-08-18,VN30,1489.54
1970-01-01 00:00:00.000000057,2021-08-19,VN30,1505.01
1970-01-01 00:00:00.000000058,2021-08-20,VN30,1450.45
1970-01-01 00:00:00.000000059,2021-08-23,VN30,1412.0
1970-01-01 00:00:00.000000060,2021-08-24,VN30,1418.26
1970-01-01 00:00:00.000000061,2021-08-25,VN30,1428.51
1970-01-01 00:00:00.000000062,2021-08-26,VN30,1412.45
1970-01-01 00:00:00.000000063,2021-08-27,VN30,1418.57
1970-01-01 00:00:00.000000064,2021-08-30,VN30,1431.05
1970-01-01 00:00:00.000000065,2021-08-31,VN30,1428.66
1970-01-01 00:00:00.000000066,2021-09-01,VN30,1426.94
1970-01-01 00:00:00.000000067,2021-09-06,VN30,1441.54
1970-01-01 00:00:00.000000068,2021-09-07,VN30,1444.1
1970-01-01 00:00:00.000000069,2021-09-08,VN30,1433.71
1970-01-01 00:00:00.000000070,2021-09-09,VN30,1447.28
1970-01-01 00:00:00.000000071,2021-09-10,VN30,1448.33
1970-01-01 00:00:00.000000072,2021-09-13,VN30,1444.99
1970-01-01 00:00:00.000000073,2021-09-14,VN30,1438.16
1970-01-01 00:00:00.000000074,2021-09-15,VN30,1444.85
1970-01-01 00:00:00.000000075,2021-09-16,VN30,1448.98
1970-01-01 00:00:00.000000076,2021-09-17,VN30,1455.59
1970-01-01 00:00:00.000000077,2021-09-20,VN30,1458.66
1970-01-01 00:00:00.000000078,2021-09-21,VN30,1446.22
1970-01-01 00:00:00.000000079,2021-09-22,VN30,1453.22
1970-01-01 00:00:00.000000080,2021-09-23,VN30,1458.23
1970-01-01 00:00:00.000000081,2021-09-24,VN30,1459.94
1970-01-01 00:00:00.000000082,2021-09-27,VN30,1439.2
1970-01-01 00:00:00.000000083,2021-09-28,VN30,1451.12
1970-01-01 00:00:00.000000084,2021-09-29,VN30,1450.52
1970-01-01 00:00:00.000000085,2021-09-30,VN30,1453.76
1970-01-01 00:00:00.000000086,2021-10-01,VN30,1441.83
1970-01-01 00:00:00.000000087,2021-10-04,VN30,1443.61
1970-01-01 00:00:00.000000088,2021-10-05,VN30,1456.21
1970-01-01 00:00:00.000000089,2021-10-06,VN30,1461.72
1970-01-01 00:00:00.000000090,2021-10-07,VN30,1462.74
1970-01-01 00:00:00.000000091,2021-10-08,VN30,1476.54
1970-01-01 00:00:00.000000092,2021-10-11,VN30,1510.27
1970-01-01 00:00:00.000000093,2021-10-12,VN30,1509.57
1970-01-01 00:00:00.000000094,2021-10-13,VN30,1505.55
1970-01-01 00:00:00.000000095,2021-10-14,VN30,1503.38
1970-01-01 00:00:00.000000096,2021-10-15,VN30,1504.84
1970-01-01 00:00:00.000000097,2021-10-18,VN30,1510.49
1970-01-01 00:00:00.000000098,2021-10-19,VN30,1507.19
1970-01-01 00:00:00.000000099,2021-10-20,VN30,1505.03
1970-01-01 00:00:00.000000100,2021-10-21,VN30,1489.26
1970-01-01 00:00:00.000000101,2021-10-22,VN30,1488.71
1970-01-01 00:00:00.000000102,2021-10-25,VN30,1476.97
1970-01-01 00:00:00.000000103,2021-10-26,VN30,1482.62
1970-01-01 00:00:00.000000104,2021-10-27,VN30,1516.46
1970-01-01 00:00:00.000000105,2021-10-28,VN30,1529.26
1970-01-01 00:00:00.000000106,2021-10-29,VN30,1532.35
1970-01-01 00:00:00.000000107,2021-11-01,VN30,1516.75
1970-01-01 00:00:00.000000108,2021-11-02,VN30,1521.35
1970-01-01 00:00:00.000000109,2021-11-03,VN30,1530.65
1970-01-01 00:00:00.000000110,2021-11-04,VN30,1528.21
1970-01-01 00:00:00.000000111,2021-11-05,VN30,1531.76
1970-01-01 00:00:00.000000112,2021-11-08,VN30,1535.66
1970-01-01 00:00:00.000000113,2021-11-09,VN30,1527.13
1970-01-01 00:00:00.000000114,2021-11-10,VN30,1523.79
1970-01-01 00:00:00.000000115,2021-11-11,VN30,1514.36
1970-01-01 00:00:00.000000116,2021-11-12,VN30,1527.94
1970-01-01 00:00:00.000000117,2021-11-15,VN30,1528.68
1970-01-01 00:00:00.000000118,2021-11-16,VN30,1517.22
1970-01-01 00:00:00.000000119,2021-11-17,VN30,1519.58
1970-01-01 00:00:00.000000120,2021-11-18,VN30,1503.42
1970-01-01 00:00:00.000000121,2021-11-19,VN30,1500.05
1970-01-01 00:00:00.000000122,2021-11-22,VN30,1517.04
1970-01-01 00:00:00.000000123,2021-11-23,VN30,1533.12
1970-01-01 00:00:00.000000124,2021-11-24,VN30,1565.29
1970-01-01 00:00:00.000000125,2021-11-25,VN30,1572.46
1970-01-01 00:00:00.000000126,2021-11-26,VN30,1566.55
1970-01-01 00:00:00.000000127,2021-11-29,VN30,1553.04
1970-01-01 00:00:00.000000128,2021-11-30,VN30,1537.59
1970-01-01 00:00:00.000000129,2021-12-01,VN30,1549.81
1970-01-01 00:00:00.000000130,2021-12-02,VN30,1540.88
1970-01-01 00:00:00.000000131,2021-12-03,VN30,1503.98
1970-01-01 00:00:00.000000132,2021-12-06,VN30,1480.92
1970-01-01 00:00:00.000000133,2021-12-07,VN30,1512.62
1970-01-01 00:00:00.000000134,2021-12-08,VN30,1516.16
1970-01-01 00:00:00.000000135,2021-12-09,VN30,1529.61
1970-01-01 00:00:00.000000136,2021-12-10,VN30,1519.46
1970-01-01 00:00:00.000000137,2021-12-13,VN30,1520.8
1970-01-01 00:00:00.000000138,2021-12-14,VN30,1516.44
1970-01-01 00:00:00.000000139,2021-12-15,VN30,1519.42
1970-01-01 00:00:00.000000140,2021-12-16,VN30,1510.17
1970-01-01 00:00:00.000000141,2021-12-17,VN30,1513.56
1970-01-01 00:00:00.000000142,2021-12-20,VN30,1513.6
1970-01-01 00:00:00.000000143,2021-12-21,VN30,1511.48
1970-01-01 00:00:00.000000144,2021-12-22,VN30,1504.12
1970-01-01 00:00:00.000000145,2021-12-23,VN30,1477.37
1970-01-01 00:00:00.000000146,2021-12-24,VN30,1506.67
1970-01-01 00:00:00.000000147,2021-12-27,VN30,1514.55
1970-01-01 00:00:00.000000148,2021-12-28,VN30,1523.54
1970-01-01 00:00:00.000000149,2021-12-29,VN30,1515.94
1970-01-01 00:00:00.000000150,2021-12-30,VN30,1519.62
1970-01-01 00:00:00.000000151,2021-12-31,VN30,1535.71
1970-01-01 00:00:00.000000152,2022-01-04,VN30,1558.87
1970-01-01 00:00:00.000000153,2022-01-05,VN30,1546.01
1970-01-01 00:00:00.000000154,2022-01-06,VN30,1544.95
1970-01-01 00:00:00.000000155,2022-01-07,VN30,1532.24
1970-01-01 00:00:00.000000156,2022-01-10,VN30,1514.7
1970-01-01 00:00:00.000000157,2022-01-11,VN30,1499.74
1970-01-01 00:00:00.000000158,2022-01-12,VN30,1530.04
1970-01-01 00:00:00.000000159,2022-01-13,VN30,1526.43
1970-01-01 00:00:00.000000160,2022-01-14,VN30,1523.57
1970-01-01 00:00:00.000000161,2022-01-17,VN30,1478.61
1970-01-01 00:00:00.000000162,2022-01-18,VN30,1477.06
1970-01-01 00:00:00.000000163,2022-01-19,VN30,1482.55
1970-01-01 00:00:00.000000164,2022-01-20,VN30,1492.81
1970-01-01 00:00:00.000000165,2022-01-21,VN30,1502.16
1970-01-01 00:00:00.000000166,2022-01-24,VN30,1471.31
1970-01-01 00:00:00.000000167,2022-01-25,VN30,1516.16
1970-01-01 00:00:00.000000168,2022-01-26,VN30,1525.31
1970-01-01 00:00:00.000000169,2022-01-27,VN30,1516.57
1970-01-01 00:00:00.000000170,2022-01-28,VN30,1532.24
1970-01-01 00:00:00.000000171,2022-02-07,VN30,1541.25
1970-01-01 00:00:00.000000172,2022-02-08,VN30,1550.46
1970-01-01 00:00:00.000000173,2022-02-09,VN30,1552.44
1970-01-01 00:00:00.000000174,2022-02-10,VN30,1548.95
1970-01-01 00:00:00.000000175,2022-02-11,VN30,1545.92
1970-01-01 00:00:00.000000176,2022-02-14,VN30,1505.07
1970-01-01 00:00:00.000000177,2022-02-15,VN30,1527.36
1970-01-01 00:00:00.000000178,2022-02-16,VN30,1521.47
1970-01-01 00:00:00.000000179,2022-02-17,VN30,1540.51
1970-01-01 00:00:00.000000180,2022-02-18,VN30,1531.47
1970-01-01 00:00:00.000000181,2022-02-21,VN30,1533.4
1970-01-01 00:00:00.000000182,2022-02-22,VN30,1532.36
1970-01-01 00:00:00.000000183,2022-02-23,VN30,1538.83
1970-01-01 00:00:00.000000184,2022-02-24,VN30,1522.04
1970-01-01 00:00:00.000000185,2022-02-25,VN30,1526.5
1970-01-01 00:00:00.000000186,2022-02-28,VN30,1517.18
1970-01-01 00:00:00.000000187,2022-03-01,VN30,1520.12
1970-01-01 00:00:00.000000188,2022-03-02,VN30,1498.61
1970-01-01 00:00:00.000000189,2022-03-03,VN30,1522.49
1970-01-01 00:00:00.000000190,2022-03-04,VN30,1525.34
1970-01-01 00:00:00.000000191,2022-03-07,VN30,1509.12
1970-01-01 00:00:00.000000192,2022-03-08,VN30,1490.17
1970-01-01 00:00:00.000000193,2022-03-09,VN30,1489.25
1970-01-01 00:00:00.000000194,2022-03-10,VN30,1490.24
1970-01-01 00:00:00.000000195,2022-03-11,VN30,1477.14
1970-01-01 00:00:00.000000196,2022-03-14,VN30,1461.1
1970-01-01 00:00:00.000000197,2022-03-15,VN30,1468.89
1970-01-01 00:00:00.000000198,2022-03-16,VN30,1472.69
1970-01-01 00:00:00.000000199,2022-03-17,VN30,1469.92
1970-01-01 00:00:00.000000200,2022-03-18,VN30,1476.94
1970-01-01 00:00:00.000000201,2022-03-21,VN30,1502.67
1970-01-01 00:00:00.000000202,2022-03-22,VN30,1513.4
1970-01-01 00:00:00.000000203,2022-03-23,VN30,1505.59
1970-01-01 00:00:00.000000204,2022-03-24,VN30,1497.44
1970-01-01 00:00:00.000000205,2022-03-25,VN30,1498.36
1970-01-01 00:00:00.000000206,2022-03-28,VN30,1484.16
1970-01-01 00:00:00.000000207,2022-03-29,VN30,1500.57
1970-01-01 00:00:00.000000208,2022-03-30,VN30,1500.23
1970-01-01 00:00:00.000000209,2022-03-31,VN30,1508.53
1970-01-01 00:00:00.000000210,2022-04-01,VN30,1542.47
1970-01-01 00:00:00.000000211,2022-04-04,VN30,1548.04
1970-01-01 00:00:00.000000212,2022-04-05,VN30,1539.2
1970-01-01 00:00:00.000000213,2022-04-06,VN30,1557.11
1970-01-01 00:00:00.000000214,2022-04-07,VN30,1541.96
1970-01-01 00:00:00.000000215,2022-04-08,VN30,1524.31
1970-01-01 00:00:00.000000216,2022-04-12,VN30,1507.2
1970-01-01 00:00:00.000000217,2022-04-13,VN30,1525.39
1970-01-01 00:00:00.000000218,2022-04-14,VN30,1518.01
1970-01-01 00:00:00.000000219,2022-04-15,VN30,1493.74
1970-01-01 00:00:00.000000220,2022-04-18,VN30,1468.25
1970-01-01 00:00:00.000000221,2022-04-19,VN30,1440.61
1970-01-01 00:00:00.000000222,2022-04-20,VN30,1435.5
1970-01-01 00:00:00.000000223,2022-04-21,VN30,1426.87
1970-01-01 00:00:00.000000224,2022-04-22,VN30,1444.32
1970-01-01 00:00:00.000000225,2022-04-25,VN30,1366.39
1970-01-01 00:00:00.000000226,2022-04-26,VN30,1396.9
1970-01-01 00:00:00.000000227,2022-04-27,VN30,1402.03
1970-01-01 00:00:00.000000228,2022-04-28,VN30,1400.88
1970-01-01 00:00:00.000000229,2022-04-29,VN30,1417.31
1970-01-01 00:00:00.000000230,2022-05-04,VN30,1389.59
1970-01-01 00:00:00.000000231,2022-05-05,VN30,1404.88
1970-01-01 00:00:00.000000232,2022-05-06,VN30,1373.21
1970-01-01 00:00:00.000000233,2022-05-09,VN30,1314.04
1970-01-01 00:00:00.000000234,2022-05-10,VN30,1345.46
1970-01-01 00:00:00.000000235,2022-05-11,VN30,1349.82
1970-01-01 00:00:00.000000236,2022-05-12,VN30,1279.76
1970-01-01 00:00:00.000000237,2022-05-13,VN30,1223.76
1970-01-01 00:00:00.000000238,2022-05-16,VN30,1215.08
1970-01-01 00:00:00.000000239,2022-05-17,VN30,1279.55
1970-01-01 00:00:00.000000240,2022-05-18,VN30,1286.41
1970-01-01 00:00:00.000000241,2022-05-19,VN30,1283.55
1970-01-01 00:00:00.000000242,2022-05-20,VN30,1282.51
1970-01-01 00:00:00.000000243,2022-05-23,VN30,1255.35
1970-01-01 00:00:00.000000244,2022-05-24,VN30,1272.71
1970-01-01 00:00:00.000000245,2022-05-25,VN30,1310.7
1970-01-01 00:00:00.000000246,2022-05-26,VN30,1309.5
1970-01-01 00:00:00.000000247,2022-05-27,VN30,1335.68
1970-01-01 00:00:00.000000248,2022-05-30,VN30,1342.87
1970-01-01 00:00:00.000000249,2022-05-31,VN30,1332.59
1970-01-01 00:00:00.000000250,2022-06-01,VN30,1335.49
1970-01-01 00:00:00.000000251,2022-06-02,VN30,1325.49
1970-01-01 00:00:00.000000252,2022-06-03,VN30,1327.4
1970-01-01 00:00:00.000000253,2022-06-06,VN30,1327.04
1970-01-01 00:00:00.000000254,2022-06-07,VN30,1324.37
1970-01-01 00:00:00.000000255,2022-06-08,VN30,1342.03
1970-01-01 00:00:00.000000256,2022-06-09,VN30,1342.92
1970-01-01 00:00:00.000000257,2022-06-10,VN30,1325.69
1970-01-01 00:00:00.000000258,2022-06-13,VN30,1260.85
1970-01-01 00:00:00.000000259,2022-06-14,VN30,1261.16
1970-01-01 00:00:00.000000260,2022-06-15,VN30,1253.09
1970-01-01 00:00:00.000000261,2022-06-16,VN30,1280.37
1970-01-01 00:00:00.000000262,2022-06-17,VN30,1258.03
1970-01-01 00:00:00.000000263,2022-06-20,VN30,1225.56
1970-01-01 00:00:00.000000264,2022-06-21,VN30,1224.54
1970-01-01 00:00:00.000000265,2022-06-22,VN30,1227.18
1970-01-01 00:00:00.000000266,2022-06-23,VN30,1240.58
1970-01-01 00:00:00.000000267,2022-06-24,VN30,1235.47
1970-01-01 00:00:00.000000268,2022-06-27,VN30,1256.67
1970-01-01 00:00:00.000000269,2022-06-28,VN30,1273.41
1970-01-01 00:00:00.000000270,2022-06-29,VN30,1273.4
1970-01-01 00:00:00.000000271,2022-06-30,VN30,1248.92
1970-01-01 00:00:00.000000272,2022-07-01,VN30,1252.24
1970-01-01 00:00:00.000000273,2022-07-04,VN30,1248.37
1970-01-01 00:00:00.000000274,2022-07-05,VN30,1242.05
1970-01-01 00:00:00.000000275,2022-07-06,VN30,1211.94
1970-01-01 00:00:00.000000276,2022-07-07,VN30,1229.23
1970-01-01 00:00:00.000000277,2022-07-08,VN30,1231.54
1970-01-01 00:00:00.000000278,2022-07-11,VN30,1209.02
1970-01-01 00:00:00.000000279,2022-07-12,VN30,1219.44
1970-01-01 00:00:00.000000280,2022-07-13,VN30,1216.94
1970-01-01 00:00:00.000000281,2022-07-14,VN30,1221.94
1970-01-01 00:00:00.000000282,2022-07-15,VN30,1220.14
1970-01-01 00:00:00.000000283,2022-07-18,VN30,1214.28
1970-01-01 00:00:00.000000284,2022-07-19,VN30,1211.7
1970-01-01 00:00:00.000000285,2022-07-20,VN30,1225.62
1970-01-01 00:00:00.000000286,2022-07-21,VN30,1235.25
1970-01-01 00:00:00.000000287,2022-07-22,VN30,1228.84
1970-01-01 00:00:00.000000288,2022-07-25,VN30,1222.6
1970-01-01 00:00:00.000000289,2022-07-26,VN30,1218.49
1970-01-01 00:00:00.000000290,2022-07-27,VN30,1219.43
1970-01-01 00:00:00.000000291,2022-07-28,VN30,1236.14
1970-01-01 00:00:00.000000292,2022-07-29,VN30,1232.0
1970-01-01 00:00:00.000000293,2022-08-01,VN30,1256.25
1970-01-01 00:00:00.000000294,2022-08-02,VN30,1265.97
1970-01-01 00:00:00.000000295,2022-08-03,VN30,1269.83
1970-01-01 00:00:00.000000296,2022-08-04,VN30,1277.73
1970-01-01 00:00:00.000000297,2022-08-05,VN30,1272.06
1970-01-01 00:00:00.000000298,2022-08-08,VN30,1276.7
